Survived,Pclass,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S,Sex_male,Cabin_encoded,interaction4,interaction5,interaction6,Ratio1,Ratio4
0,3,-0.5816590392833026,1,0,-0.8797405693934278,False,False,True,True,0.3032166537316116,0.5117090544119268,-2.639221708180284,-0.8797405693934278,0.6611710992075205,-1.136698743687005
1,1,0.6493270053121817,1,0,1.3612199269233831,True,False,False,False,0.3828892005610098,0.8838768587204273,1.3612199269233831,0.0,0.4770184394668572,0.0
1,3,-0.2739125281344315,0,0,-0.798539974052802,False,False,True,False,0.2988627251557665,0.2187301031092063,-2.395619922158406,-0.0,0.3430166767284709,-0.0
1,1,0.4185171219505283,1,0,1.0620380556287106,False,False,True,False,0.0,0.444481110443663,1.0620380556287106,0.0,0.3940697979064154,0.0
0,3,0.4185171219505283,0,0,-0.7841792430073967,False,False,True,True,0.3032153651919821,-0.3281924398767996,-2.35253772902219,-0.7841792430073967,-0.5337008415900912,-1.2752186555779157
0,3,-0.0431026447727782,0,0,-0.7386163019798164,False,True,False,True,0.2968424733612231,0.0318363160876191,-2.215848905939449,-0.7386163019798164,0.0583559348165539,-1.3538829258433105
0,1,1.880313049907666,0,0,1.038145562232327,False,False,True,True,0.3834269662921348,1.9520386483691756,1.038145562232327,1.038145562232327,1.8112229328076344,0.9632560561639328
0,3,-2.120391595027658,3,1,0.1364991380659541,False,False,True,True,0.2968424733612231,-0.2894316250835689,0.4094974141978623,0.1364991380659541,-15.53410244981269,7.326053586630098
1,3,-0.1969759003472138,0,2,-0.4814557804928133,False,False,True,False,0.2968424733612231,0.0948351858399424,-1.44436734147844,-0.0,0.4091256317362962,-0.0
1,2,-1.1971520615810447,1,0,0.4894379098126231,True,False,False,False,0.2988627251557665,-0.5859316027480992,0.9788758196252462,0.0,-2.445973304436846,0.0
1,3,-1.9665183394532224,1,1,-0.0915650042440226,False,False,True,False,0.4600025702798137,0.1800642600979826,-0.2746950127320678,-0.0,21.47674600890544,-0.0
1,1,2.1880595610565368,0,0,0.365260935704026,False,False,True,False,0.3828892005610098,0.7992126826476512,0.365260935704026,0.0,5.990401236965399,0.0
0,3,-0.7355322948577382,0,0,-0.7841792430073967,False,False,True,True,0.2968424733612231,0.5767891581890344,-2.35253772902219,-0.7841792430073967,0.937964504182624,-1.2752186555779157
0,3,0.7262636330993993,1,5,0.5286989276421437,False,False,True,True,0.3032153651919821,0.3839748040051397,1.586096782926431,0.5286989276421437,1.373680927136247,1.8914356502664635
0,3,-1.1971520615810447,0,0,-0.806763380796033,False,False,True,False,0.2988627251557665,0.9658184445280644,-2.420290142388099,-0.0,1.483894894187953,-0.0
1,2,1.957249677694884,0,0,-0.1332285205737305,False,False,True,False,0.2988627251557665,-0.2607614789527003,-0.2664570411474611,-0.0,-14.6909210525363,-0.0
