,Pclass,Age,Parch,Fare,Embarked_C,interaction4,interaction5,interaction7,Ratio4
0,1,-1.9665183394532224,2,1.5021989568725875,False,-2.954101798197444,1.5021989568725875,1.5021989568725875,0.0
1,3,-0.0431026447727782,0,-0.8019236166026618,False,0.0345650287813261,-2.4057708498079853,-0.8019236166026618,-0.0
2,3,-2.197328222814876,1,-0.4814557804928133,False,1.0579163745142224,-1.44436734147844,-0.0,-2.077033946869243
3,2,0.4954537497377461,2,0.4092826615690944,False,0.2027806293770527,0.8185653231381889,0.4092826615690944,0.0
4,2,1.0340101442482703,1,0.3539558601651709,False,0.3659939500269091,0.7079117203303419,0.3539558601651709,0.0
5,1,0.6493270053121817,1,2.14527242190355,False,1.3929833172934434,2.14527242190355,2.14527242190355,0.0
6,2,0.1107706108016572,1,0.3539558601651709,False,0.0392079068273219,0.7079117203303419,0.0,2.825211029232168
7,3,-0.0431026447727782,0,-0.7841792430073967,False,0.0338001993495339,-2.35253772902219,-0.7841792430073967,-0.0
8,3,-0.8894055504321737,0,-0.7560434444325566,False,0.6724292358461745,-2.2681303332976697,-0.7560434444325566,-0.0
9,2,-0.0431026447727782,0,-0.1926030564769894,True,0.008301701125479,-0.3852061129539788,-0.1926030564769894,-0.0
10,1,0.7262636330993993,1,1.812289926928167,True,1.3162002665602954,1.812289926928167,0.0,0.5517880914865542
11,2,0.7262636330993993,0,-0.3336984726090336,False,-0.2423530650767571,-0.6673969452180673,-0.3336984726090336,-0.0
12,3,-0.2739125281344315,0,-0.7165619336211217,False,0.1962752908030582,-2.149685800863365,-0.7165619336211217,-0.0
13,3,-0.7355322948577382,0,-0.9050797531497118,False,0.6657153878634827,-2.7152392594491355,-0.9050797531497118,-0.0
14,1,-0.0431026447727782,0,2.003535801391161,False,-0.0863576919369068,2.003535801391161,0.0,0.4991176096307573
15,3,1.4956299109715772,0,-3.0585777291682934,False,-4.574500336775623,-9.17573318750488,-3.0585777291682934,-0.0
16,2,-0.5047224114960849,0,-0.1928732839633732,True,0.0973474689951629,-0.3857465679267465,-0.1928732839633732,-0.0
17,3,-2.197328222814876,1,0.7678594338107121,False,-1.6872392050669287,2.303578301432136,0.7678594338107121,0.0
18,3,-0.0431026447727782,0,-0.8038521494426432,False,0.0346481536472605,-2.411556448327929,-0.0,-1.244009860138282
19,3,-0.0431026447727782,2,0.242006638024377,False,-0.010431126151419,0.726019914073131,0.242006638024377,0.0
20,2,-2.0434549672404403,1,0.3444394801955362,False,-0.7038465667192837,0.6888789603910724,0.3444394801955362,0.0
21,3,-1.9665183394532224,1,-0.4814557804928133,False,0.9467916219748824,-1.44436734147844,-0.4814557804928133,-0.0
22,3,-0.812468922644956,0,-0.830854756854953,False,0.6750436691763805,-2.492564270564859,-0.830854756854953,-0.0
23,3,0.841668574780226,0,-0.8189865811572414,False,-0.6893152685267453,-2.4569597434717245,-0.8189865811572414,-0.0
24,3,-2.197328222814876,2,-0.1490371552690002,True,0.3274835475206169,-0.4471114658070007,-0.0,-6.709736227822381
25,3,-0.0431026447727782,2,-0.1800831698720664,True,0.0077620609005515,-0.5402495096161992,-0.0,-5.552989769729253
26,3,-0.6585956670705204,0,-0.798539974052802,False,0.5259149668937811,-2.395619922158406,-0.798539974052802,-0.0
27,1,1.880313049907666,0,1.038145562232327,False,1.952038648369176,1.038145562232327,1.038145562232327,0.0
28,3,-0.0431026447727782,0,-0.1640522996256444,False,0.0070710879949215,-0.4921568988769333,-0.1640522996256444,-0.0
29,2,-0.3508491559216493,2,0.8147822510349934,True,-0.2858656650355688,1.6295645020699867,0.8147822510349934,0.0
30,3,-0.2739125281344315,0,-0.2316612596882322,True,0.0634549213120107,-0.6949837790646967,-0.2316612596882322,-0.0
31,3,-0.5816590392833026,0,-0.5353074585700541,False,0.311366422073044,-1.6059223757101624,-0.0,-1.8680853105825592
32,3,0.1107706108016572,1,0.1104479417286699,False,0.0122343859670706,0.3313438251860098,0.0,9.05403925458958
33,1,1.4956299109715772,0,1.588760118059578,True,2.376197153928639,1.588760118059578,1.588760118059578,0.0
34,2,-0.812468922644956,1,0.6904870950626278,False,-0.5609993062257785,1.3809741901252557,0.6904870950626278,0.0
35,2,-0.4277857837088671,0,-0.5368057694182641,False,0.2296378767700335,-1.0736115388365282,-0.5368057694182641,-0.0
36,3,-1.0432788060066092,0,-0.7841792430073967,False,0.8181175843399234,-2.35253772902219,-0.7841792430073967,-0.0
37,1,-0.3508491559216493,0,1.1057901177672145,True,-0.3879655294451283,1.1057901177672145,1.1057901177672145,0.0
38,3,0.7262636330993993,0,0.2711522804976662,False,0.1969280403574224,0.8134568414929986,0.2711522804976662,0.0
39,3,1.3417566553971416,0,-0.2286058134653583,False,-0.306733371679622,-0.6858174403960748,-0.0,-4.374341950632566
40,1,2.3419328166309725,0,0.365260935704026,False,0.8554165719585943,0.365260935704026,0.365260935704026,0.0
41,2,-0.4277857837088671,0,-0.3336984726090336,False,0.1427514626275073,-0.6673969452180673,-0.3336984726090336,-0.0
42,1,-0.0431026447727782,0,1.0011105492142125,False,-0.0431505123810611,1.0011105492142125,1.0011105492142125,0.0
43,2,-0.1969759003472138,0,0.1329851701219792,False,-0.0261948736176042,0.2659703402439584,0.0,7.519635453207008
44,2,-0.0431026447727782,0,-0.2719703716509067,True,0.0117226423179895,-0.5439407433018135,-0.2719703716509067,-0.0
45,3,0.6493270053121817,0,-0.8019236166026618,False,-0.5207106604577205,-2.4057708498079853,-0.8019236166026618,-0.0
46,3,1.1109467720354882,0,-0.7841792430073967,False,-0.8711813987163001,-2.35253772902219,-0.7841792430073967,-0.0
47,2,-0.6585956670705204,0,-0.5368057694182641,False,0.3535379537973256,-1.0736115388365282,-0.0,-1.8628711853892683
48,3,-0.4277857837088671,2,-0.0915650042440226,False,0.0391702071008349,-0.2746950127320678,-0.0,-10.921203010431578
49,2,1.187883399822706,0,-0.2974659859684506,False,-0.3533549067438165,-0.5949319719369013,-0.0,-3.3617288939585195
50,2,-1.658771828304351,1,0.6904870950626278,False,-1.1453605410975956,1.3809741901252557,0.6904870950626278,0.0
51,3,-1.658771828304351,1,0.1364991380659541,False,-0.2264209248116307,0.4094974141978623,0.0,7.326053586630098
52,1,-0.0431026447727782,0,0.6414769499431594,False,-0.0276493531033252,0.6414769499431594,0.6414769499431594,0.0
53,3,0.187707238588875,0,-0.7841792430073967,False,-0.1471961202636328,-2.35253772902219,-0.7841792430073967,-0.0
54,1,1.5725665387587948,0,1.114140203521088,False,1.7520596035431768,1.114140203521088,1.114140203521088,0.0
55,3,-0.6585956670705204,0,-0.8131032608653792,False,0.5355062844868498,-2.439309782596138,-0.8131032608653792,-0.0
56,2,1.5725665387587948,0,-0.5368057694182641,False,-0.8441627907998313,-1.0736115388365282,-0.0,-1.8628711853892683
57,3,-0.5047224114960849,0,-0.798539974052802,False,0.4030410213799512,-2.395619922158406,-0.0,-1.2522854615840144
58,3,0.187707238588875,0,-0.806763380796033,False,-0.1514353264038484,-2.420290142388099,-0.806763380796033,-0.0
59,3,-0.0431026447727782,0,-0.8189865811572414,False,0.0353004876812927,-2.4569597434717245,-0.0,-1.2210212267299712
60,3,-0.6585956670705204,2,0.6233938271906204,False,-0.4105644734662514,1.8701814815718607,0.0,1.6041223964417304
61,3,-0.0431026447727782,0,-0.8189865811572414,False,0.0353004876812927,-2.4569597434717245,-0.8189865811572414,-0.0
62,3,-0.3508491559216493,0,-0.8828741679067217,True,0.3097556565951018,-2.648622503720165,-0.8828741679067217,-0.0
63,3,-1.120215433793827,1,-0.8823470582632056,True,0.988418792629024,-2.6470411747896168,-0.8823470582632056,-0.0
64,3,0.1107706108016572,0,-0.018385836972892,False,-0.0020366103915869,-0.0551575109186761,-0.0,-54.38969144969541
65,2,-0.3508491559216493,0,-0.3336984726090336,False,0.117077827447223,-0.6673969452180673,-0.3336984726090336,-0.0
66,2,1.880313049907666,0,0.3444394801955362,False,0.6476540495150798,0.6888789603910724,0.3444394801955362,0.0
67,1,-0.120039272559996,0,0.940663265248102,False,-0.1129165340842927,0.940663265248102,0.940663265248102,0.0
68,1,0.6493270053121817,0,1.4787785499834798,False,0.9602108473806632,1.4787785499834798,0.0,0.6762337741585253
69,2,0.8801368886738349,1,0.0600711254399584,False,0.0528708134438606,0.1201422508799169,0.0,16.646932992782155
70,3,0.2646438663760928,0,-0.7165619336211217,True,-0.1896337206114228,-2.149685800863365,-0.7165619336211217,-0.0
71,2,1.7264397943332304,0,-0.2974659859684506,False,-0.5135571156365035,-0.5949319719369013,-0.2974659859684506,-0.0
72,3,-1.0432788060066092,1,0.0971716406458445,False,-0.1013771132306999,0.2915149219375335,0.0971716406458445,0.0
73,3,-0.7355322948577382,0,-0.7841792430073967,False,0.5767891581890344,-2.35253772902219,-0.7841792430073967,-0.0
