Survived,Pclass,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S,Sex_male,Cabin_encoded
0,3,-0.5816590392833026,1,0,-0.8797405693934278,False,False,True,True,0.3032166537316116
1,1,0.6493270053121817,1,0,1.3612199269233833,True,False,False,False,0.38288920056100983
1,3,-0.27391252813443157,0,0,-0.798539974052802,False,False,True,False,0.2988627251557665
1,1,0.4185171219505283,1,0,1.0620380556287106,False,False,True,False,0.0
0,3,0.4185171219505283,0,0,-0.7841792430073967,False,False,True,True,0.3032153651919821
0,3,-0.043102644772778274,0,0,-0.7386163019798164,False,True,False,True,0.29684247336122316
0,1,1.880313049907666,0,0,1.038145562232327,False,False,True,True,0.38342696629213485
0,3,-2.120391595027658,3,1,0.1364991380659541,False,False,True,True,0.29684247336122316
1,3,-0.19697590034721382,0,2,-0.48145578049281335,False,False,True,False,0.29684247336122316
1,2,-1.1971520615810447,1,0,0.4894379098126231,True,False,False,False,0.2988627251557665
1,3,-1.9665183394532224,1,1,-0.09156500424402261,False,False,True,False,0.4600025702798137
1,1,2.1880595610565368,0,0,0.36526093570402607,False,False,True,False,0.38288920056100983
0,3,-0.7355322948577382,0,0,-0.7841792430073967,False,False,True,True,0.29684247336122316
0,3,0.7262636330993993,1,5,0.5286989276421437,False,False,True,True,0.3032153651919821
0,3,-1.1971520615810447,0,0,-0.806763380796033,False,False,True,False,0.2988627251557665
1,2,1.9572496776948838,0,0,-0.13322852057373055,False,False,True,False,0.2988627251557665
0,3,-2.120391595027658,4,1,0.457519539438721,False,True,False,True,0.3032166537316116
1,2,-0.043102644772778274,0,0,-0.3336984726090336,False,False,True,True,0.29684247336122316
0,3,0.11077061080165726,1,0,-0.01838583697289204,False,False,True,False,0.2988627251557665
1,3,-0.043102644772778274,0,0,-0.8828741679067217,True,False,False,False,0.3032153651919821
0,2,0.4185171219505283,0,0,0.3444394801955362,False,False,True,True,0.3032166537316116
1,2,0.34158049416331054,0,0,-0.3336984726090336,False,False,True,True,0.38429172510518933
1,3,-1.120215433793827,0,0,-0.7865550587251358,False,True,False,False,0.3032166537316116
1,1,-0.12003927255999604,0,0,0.6557188297748954,False,False,True,True,0.38429172510518933
0,3,-1.6587718283043513,3,1,0.1364991380659541,False,False,True,False,0.3032153651919821
1,3,0.6493270053121817,1,5,0.5322916934007406,False,False,True,False,0.29684247336122316
0,3,-0.043102644772778274,0,0,-0.8828741679067217,True,False,False,True,0.3032153651919821
0,1,-0.812468922644956,3,2,2.6987007794454887,False,False,True,True,0.5993424724349624
1,3,-0.043102644772778274,0,0,-0.8038521494426432,False,True,False,False,0.3032153651919821
0,3,-0.043102644772778274,0,0,-0.8019236166026618,False,False,True,True,0.29777937432414325
0,1,0.8032002608866171,0,0,0.4082334475616762,True,False,False,True,0.3032153651919821
1,1,-0.043102644772778274,1,0,2.097794920021772,True,False,False,False,0.38342696629213485
1,3,-0.043102644772778274,0,0,-0.8189865811572414,False,True,False,False,0.29684247336122316
0,2,2.8035525833542794,0,0,-0.5368057694182641,False,False,True,True,0.2988627251557665
0,1,-0.12003927255999604,1,0,1.5060857797883969,True,False,False,True,0.3032153651919821
0,1,0.9570735164610527,1,0,1.0408277503255374,False,False,True,True,0.3032166537316116
1,3,-0.043102644772778274,0,0,-0.8823470582632056,True,False,False,True,0.29777937432414325
0,3,-0.6585956670705204,0,0,-0.7841792430073967,False,False,True,True,0.29684247336122316
0,3,-0.8894055504321737,2,0,-0.01838583697289204,False,False,True,False,0.2988627251557665
1,3,-1.1971520615810447,1,0,-0.47227211715402734,True,False,False,False,0.3032166537316116
0,3,0.8032002608866171,1,0,-0.6331972544104215,False,False,True,False,0.3032166537316116
0,2,-0.19697590034721382,1,0,0.1329851701219792,False,False,True,False,0.29684247336122316
0,3,-0.043102644772778274,0,0,-0.8019236166026618,True,False,False,True,0.3032166537316116
1,2,-2.0434549672404403,1,2,0.8147822510349934,True,False,False,False,0.3032153651919821
1,3,-0.812468922644956,0,0,-0.8038521494426432,False,True,False,False,0.29684247336122316
0,3,-0.043102644772778274,0,0,-0.7841792430073967,False,False,True,True,0.3032153651919821
0,3,-0.043102644772778274,1,0,-0.16405229962564447,False,True,False,True,0.29684247336122316
1,3,-0.043102644772778274,0,0,-0.8189865811572414,False,True,False,False,0.29777937432414325
0,3,-0.043102644772778274,2,0,0.16437971416667366,True,False,False,True,0.3032166537316116
0,3,-0.8894055504321737,1,0,-0.029312075627065143,False,False,True,False,0.29777937432414325
0,3,-1.7357084560915692,4,1,0.7678594338107121,False,False,True,True,0.29684247336122316
0,3,-0.6585956670705204,0,0,-0.8131032608653792,False,False,True,True,0.29684247336122316
1,1,1.4956299109715772,1,0,1.4362199751817062,True,False,False,False,1.0
1,2,-0.043102644772778274,1,0,0.3444394801955362,False,False,True,False,0.3032153651919821
0,1,2.7266159555670617,0,1,1.2189504454470093,True,False,False,True,0.38429172510518933
1,1,-0.043102644772778274,0,0,0.6557188297748954,False,False,True,True,1.0
